시도명,사고위험지역명,반경내카메라수,총사고건수,총사망자수,총중상자수,위험점수,카메라효율,카메라효과비율,과잉세분화,위도,경도
서울,서울특별시 강서구내에서 2019년도에 반경50m 이내 다른사고4건 이상 지역,2,7,0,1,12,6.0,0.0,과잉(재배치1순위),37.5623905458621,126.83596954780236
부산,부산광역시 중구내에서 2021년도에 반경50m 이내 다른사고4건 이상 지역,1,6,0,0,6,6.0,0.0,과잉(재배치1순위),35.10379225440932,129.02301611007667
경기,경기도 수원시 장안구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,3,8,0,2,18,6.0,0.0,과잉(재배치1순위),37.3074499945945,126.9905178785362
경기,경기도 하남시내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,3,9,0,2,19,6.333333333333333,0.0,과잉(재배치1순위),37.542675276611945,127.2082350750286
부산,부산광역시 금정구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,3,9,0,2,19,6.333333333333333,0.0,과잉(재배치1순위),35.22726837960695,129.08329380285875
서울,서울특별시 광진구내에서 2020년도에 반경50m 이내 다른사고8건 이상 지역,3,11,0,2,21,7.0,0.0,과잉(재배치1순위),37.5650414012712,127.0803210333359
울산,울산광역시 중구내에서 2020년도에 반경50m 이내 다른사고6건 이상 지역,1,7,0,0,7,7.0,0.0,과잉(재배치1순위),35.561503524116205,129.3106062039916
경기,경기도 안양시동안구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,2,9,0,1,14,7.0,0.0,과잉(재배치1순위),37.38498653708013,126.96402573194176
경기,경기도 연천군내에서 2024년도에 반경100m 이내 다른사고4건 이상 지역,1,7,0,0,7,7.0,0.0,과잉(재배치1순위),38.032634946152285,127.06411617346458
충북,충청북도 충주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,2,10,0,1,15,7.5,0.0,과잉(재배치1순위),36.987266820425425,127.93779794334074
충남,충청남도 보령시내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,2,5,0,2,15,7.5,0.0,과잉(재배치1순위),36.354407792961645,126.59037441818464
대전,대전광역시 중구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,2,10,0,1,15,7.5,0.0,과잉(재배치1순위),36.320007363246944,127.42385866451149
경기,경기도 수원시 장안구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,2,10,0,1,15,7.5,0.0,과잉(재배치1순위),37.29378910309648,127.01076000799405
부산,부산광역시 동구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,2,6,0,2,16,8.0,0.0,과잉(재배치1순위),35.12549060253942,129.03826832721796
부산,부산광역시 수영구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,2,16,0,0,16,8.0,0.0,과잉(재배치1순위),35.18422946484786,129.1137670262918
부산,부산광역시 서구내에서 2022년도에 반경50m 이내 다른사고6건 이상 지역,2,6,0,2,16,8.0,0.0,과잉(재배치1순위),35.08986927026297,129.0224607623945
전남,전라남도 목포시내에서 2022년도에 반경80m 이내 다른사고10건 이상 지역,2,11,0,1,16,8.0,0.0,과잉(재배치1순위),34.81967162403997,126.39704964957983
부산,부산광역시 연제구내에서 2023년도에 반경50m 이내 다른사고6건 이상 지역,1,8,0,0,8,8.0,0.0,과잉(재배치1순위),35.19541055434045,129.07674370789965
충북,충청북도 충주시내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,1,8,0,0,8,8.0,0.0,과잉(재배치1순위),36.99070393541036,127.92969303649545
경기,경기도 안성시내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,3,10,0,3,25,8.333333333333334,0.0,과잉(재배치1순위),37.0053747763606,127.26579277245487
충남,충청남도 천안시동남구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,2,12,0,1,17,8.5,0.0,과잉(재배치1순위),36.78892559490501,127.12666376835928
전남,전라남도 구례군내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,1,9,9.0,0.0,과잉(재배치1순위),35.20912537804421,127.46246455398467
전북,전라북도 남원시내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,1,9,9.0,0.0,과잉(재배치1순위),35.4182333134001,127.38441857600833
전남,전라남도 영암군내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,1,9,9.0,0.0,과잉(재배치1순위),34.85157778303264,126.69044073021868
부산,부산광역시 북구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,1,9,0,0,9,9.0,0.0,과잉(재배치1순위),35.23781309666674,129.0088603575003
서울,서울특별시 은평구내에서 2022년도에 반경50m 이내 다른사고8건 이상 지역,1,9,0,0,9,9.0,0.0,과잉(재배치1순위),37.60916454247104,126.92075442358139
경북,경상북도 영천시내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,1,9,9.0,0.0,과잉(재배치1순위),35.93434720696438,128.8701788418331
충북,충청북도 영동군내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,3,19,9.5,0.0,과잉(재배치1순위),36.173348857693504,127.7732561648712
전남,전라남도 해남군내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,3,19,9.5,0.0,과잉(재배치1순위),34.57433360268752,126.59875368907299
경기,경기도 군포시내에서 2020년도에 반경50m 이내 다른사고8건 이상 지역,2,9,0,2,19,9.5,0.0,과잉(재배치1순위),37.365203438591486,126.93910696225221
전남,전라남도 목포시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,2,19,0,0,19,9.5,0.0,과잉(재배치1순위),34.804834496258806,126.43408812596485
서울,서울특별시 강북구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,2,9,0,2,19,9.5,0.0,과잉(재배치1순위),37.627772673412224,127.01607628600496
경남,경상남도 밀양시내에서 2024년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,3,19,9.5,0.0,과잉(재배치1순위),35.48836370998942,128.75472524389428
강원,강원도 속초시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,1,5,0,1,10,10.0,0.0,과잉(재배치1순위),38.203115129721176,128.56805696067664
경기,경기도 김포시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,3,10,0,4,30,10.0,0.0,과잉(재배치1순위),37.62875875973088,126.7023808281861
경기,경기도 화성시내에서 2020년도에 반경50m 이내 다른사고10건 이상 지역,1,10,0,0,10,10.0,0.0,과잉(재배치1순위),37.20516157122247,127.03701339853968
경기,경기도 용인시수지구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,2,10,0,2,20,10.0,0.0,과잉(재배치1순위),37.317670535093406,127.08514921100046
부산,부산광역시 영도구내에서 2021년도에 반경50m 이내 다른사고4건 이상 지역,3,6,0,5,31,10.333333333333334,0.0,과잉(재배치1순위),35.082571724625346,129.04198027215048
충남,충청남도 아산시내에서 2024년도에 반경80m 이내 다른사고10건 이상 지역,2,11,0,2,21,10.5,0.0,과잉(재배치1순위),36.779644899178884,127.0519496735924
충남,충청남도 홍성군내에서 2024년도에 반경100m 이내 다른사고4건 이상 지역,2,11,0,2,21,10.5,0.0,과잉(재배치1순위),36.60559355044997,126.67557839611501
경기,경기도 하남시내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,1,11,0,0,11,11.0,0.0,과잉(재배치1순위),37.569498238364424,127.18319583782939
전남,전라남도 무안군내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,1,6,0,1,11,11.0,0.0,과잉(재배치1순위),34.990740526991196,126.47635779790943
부산,부산광역시 서구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,1,6,0,1,11,11.0,0.0,과잉(재배치1순위),35.11030188953316,129.01799144591914
경기,경기도 용인시기흥구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,4,19,0,5,44,11.0,0.0,과잉(재배치1순위),37.27906169512052,127.11379780059896
경남,경상남도 창원시 의창구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,1,6,0,1,11,11.0,0.0,과잉(재배치1순위),35.26199711231582,128.63037575331387
경기,경기도 하남시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,2,8,0,3,23,11.5,0.0,과잉(재배치1순위),37.57178945570465,127.19418197736422
경남,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 지역,2,8,0,3,23,11.5,0.0,과잉(재배치1순위),35.20584265128752,128.70326446791321
경기,경기도 성남시 수정구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,2,13,0,2,23,11.5,0.0,과잉(재배치1순위),37.44912611156434,127.14322758723432
충남,충청남도 아산시내에서 2022년도에 반경80m 이내 다른사고10건 이상 지역,2,18,0,1,23,11.5,0.0,과잉(재배치1순위),36.779492831602866,127.05226433844146
경기,경기도 고양시일산동구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,2,8,0,3,23,11.5,0.0,과잉(재배치1순위),37.66659449827656,126.76759198097665
경기,경기도 파주시내에서 2024년도에 반경80m 이내 다른사고10건 이상 지역,2,13,0,2,23,11.5,0.0,과잉(재배치1순위),37.730073630132544,126.73209581746532
충남,충청남도 천안시동남구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,2,14,0,2,24,12.0,0.0,과잉(재배치1순위),36.78880805601142,127.12655225739006
충남,충청남도 논산시내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,4,24,12.0,0.0,과잉(재배치1순위),36.19657704839432,127.08433724989769
경남,경상남도 밀양시내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,4,24,12.0,0.0,과잉(재배치1순위),35.48810763201322,128.75507401487823
부산,부산광역시 동래구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,2,9,0,3,24,12.0,0.0,과잉(재배치1순위),35.197952983073876,129.05656077593676
부산,부산광역시 북구내에서 2020년도에 반경50m 이내 다른사고8건 이상 지역,2,9,0,3,24,12.0,0.0,과잉(재배치1순위),35.242019516635864,129.01207045254583
경기,경기도 용인시기흥구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,4,25,0,5,50,12.5,0.0,과잉(재배치1순위),37.274475614754635,127.10345529033363
부산,부산광역시 해운대구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,2,10,0,3,25,12.5,0.0,과잉(재배치1순위),35.16933193193829,129.16590081344233
충북,충청북도 청주시 상당구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,2,10,0,3,25,12.5,0.0,과잉(재배치1순위),36.61933440588837,127.4970792539056
경기,경기도 성남시 중원구내에서 2022년도에 반경50m 이내 다른사고8건 이상 지역,2,10,0,3,25,12.5,0.0,과잉(재배치1순위),37.43697122507731,127.13288553239714
광주,광주광역시 동구내에서 2017년도에 반경50m 이내 다른사고6건 이상 지역,2,11,0,3,26,13.0,0.0,과잉(재배치1순위),35.15759731687063,126.92973179150327
인천,인천광역시 미추홀구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,2,11,0,3,26,13.0,0.0,과잉(재배치1순위),37.45093617751706,126.67748632247215
인천,인천광역시 계양구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,1,8,0,1,13,13.0,0.0,과잉(재배치1순위),37.530642073914244,126.73119877301798
경기,경기도 용인시수지구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,1,8,0,1,13,13.0,0.0,과잉(재배치1순위),37.31950162374199,127.08810745415683
울산,울산광역시 중구내에서 2023년도에 반경50m 이내 다른사고6건 이상 지역,1,8,0,1,13,13.0,0.0,과잉(재배치1순위),35.56410204718963,129.32895757864677
충남,충청남도 당진시내에서 2024년도에 반경100m 이내 다른사고6건 이상 지역,1,8,0,1,13,13.0,0.0,과잉(재배치1순위),36.898525235628405,126.6210505481904
경남,경상남도 김해시내에서 2019년도에 반경50m 이내 다른사고10건 이상 지역,2,12,0,3,27,13.5,0.0,과잉(재배치1순위),35.23456911218895,128.8701309255754
부산,부산광역시 북구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,2,7,0,4,27,13.5,0.0,과잉(재배치1순위),35.23196011714956,129.01043309070337
경기,경기도 고양시일산동구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,3,16,0,5,41,13.666666666666666,0.0,과잉(재배치1순위),37.654827309600996,126.77555229279395
경기,경기도 하남시내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,1,9,0,1,14,14.0,0.0,과잉(재배치1순위),37.54275687037034,127.20842719545841
경남,경상남도 함양군내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,2,8,0,4,28,14.0,0.0,과잉(재배치1순위),35.52405406657457,127.73117705472811
경남,경상남도 진주시내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,2,14,14.0,0.0,과잉(재배치1순위),35.173780246561975,128.06017866601394
인천,인천광역시 부평구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,1,14,0,0,14,14.0,0.0,과잉(재배치1순위),37.48916366909915,126.70543721572756
경북,경상북도 상주시내에서 2022년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,2,14,14.0,0.0,과잉(재배치1순위),36.41973004709863,128.17121347883344
경남,경상남도 창원시 마산합포구내에서 2022년도에 반경50m 이내 다른사고6건 이상 지역,2,8,0,4,28,14.0,0.0,과잉(재배치1순위),35.218346610865254,128.5681091059866
경남,경상남도 사천시내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,2,14,14.0,0.0,과잉(재배치1순위),34.93530171062942,128.07970341649784
전북,전북특별자치도 완주군내에서 2024년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,2,14,14.0,0.0,과잉(재배치1순위),35.913470237379705,127.07035714274042
충북,충청북도 청주시 상당구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,2,9,0,4,29,14.5,0.0,과잉(재배치1순위),36.61901888197991,127.49701215999274
부산,부산광역시 중구내에서 2017년도에 반경50m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),35.10371322041565,129.0257135491385
전북,전라북도 완주군내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),35.91353259662276,127.07014622740918
부산,부산광역시 중구내에서 2019년도에 반경50m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),35.105975703149376,129.0193045211439
경기,경기도 파주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,2,10,0,4,30,15.0,0.0,과잉(재배치1순위),37.72867992672524,126.72845618104728
부산,부산광역시 영도구내에서 2020년도에 반경50m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),35.096827051079394,129.0546123461166
경기,경기도 화성시내에서 2021년도에 반경50m 이내 다른사고10건 이상 지역,1,10,0,1,15,15.0,0.0,과잉(재배치1순위),37.204863766058,127.03692505940364
충남,충청남도 금산군내에서 2022년도에 반경100m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),36.105027578996264,127.49754466228593
충남,충청남도 금산군내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),36.10490135902462,127.49756688401368
경북,경상북도 상주시내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,1,5,0,2,15,15.0,0.0,과잉(재배치1순위),36.41929302468475,128.16069108853657
경기,경기도 안성시내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,3,21,0,5,46,15.333333333333334,0.0,과잉(재배치1순위),37.004653192921836,127.26557018171434
경기,경기도 평택시내에서 2020년도에 반경50m 이내 다른사고10건 이상 지역,2,16,0,3,31,15.5,0.0,과잉(재배치1순위),37.046538287211426,127.06015205843211
부산,부산광역시 남구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,1,11,0,1,16,16.0,0.0,과잉(재배치1순위),35.14089020988598,129.09947562330973
부산,부산광역시 북구내에서 2019년도에 반경50m 이내 다른사고6건 이상 지역,1,6,0,2,16,16.0,0.0,과잉(재배치1순위),35.21258526347759,129.01399569370224
전남,전라남도 나주시내에서 2021년도에 반경100m 이내 다른사고6건 이상 지역,1,6,0,2,16,16.0,0.0,과잉(재배치1순위),35.043275915409424,126.71556208780973
전남,전라남도 순천시내에서 2022년도에 반경80m 이내 다른사고10건 이상 지역,1,11,0,1,16,16.0,0.0,과잉(재배치1순위),34.95831469387918,127.48444812950767
부산,부산광역시 북구내에서 2023년도에 반경50m 이내 다른사고6건 이상 지역,1,11,0,1,16,16.0,0.0,과잉(재배치1순위),35.23759717447476,129.00882338655305
인천,인천광역시 남동구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,3,19,0,6,49,16.333333333333332,0.0,과잉(재배치1순위),37.45029048507347,126.7428285789126
경기,경기도 용인시기흥구내에서 2018년도에 반경50m 이내 다른사고12건 이상 지역,2,13,1,2,33,16.5,0.0,과잉(재배치1순위),37.2701516786817,127.07303629817211
경기,경기도 구리시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,1,7,0,2,17,17.0,0.0,과잉(재배치1순위),37.643767711122216,127.12430221570818
충북,충청북도 청주시 흥덕구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,2,14,0,4,34,17.0,0.0,과잉(재배치1순위),36.630396930609066,127.4352483974886
인천,인천광역시 미추홀구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,2,9,1,3,34,17.0,0.0,과잉(재배치1순위),37.46331397183986,126.63606713093782
경기,경기도 이천시내에서 2019년도에 반경100m 이내 다른사고6건 이상 지역,1,7,0,2,17,17.0,0.0,과잉(재배치1순위),37.27750288487564,127.44552764881695
충남,충청남도 공주시내에서 2021년도에 반경100m 이내 다른사고6건 이상 지역,1,7,0,2,17,17.0,0.0,과잉(재배치1순위),36.45685729246807,127.12215108270195
경북,경상북도 영천시내에서 2021년도에 반경100m 이내 다른사고4건 이상 지역,1,12,0,1,17,17.0,0.0,과잉(재배치1순위),35.93447037222157,128.87123405872617
경기,경기도 의정부시내에서 2022년도에 반경80m 이내 다른사고10건 이상 지역,1,12,0,1,17,17.0,0.0,과잉(재배치1순위),37.75571624028069,127.06747766050493
경기,경기도 안성시내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,3,17,0,7,52,17.333333333333332,0.0,과잉(재배치1순위),37.00494178223885,127.26563673845571
인천,인천광역시 남동구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,2,15,0,4,35,17.5,0.0,과잉(재배치1순위),37.46281610797728,126.69854666610553
경기,경기도 평택시내에서 2019년도에 반경50m 이내 다른사고10건 이상 지역,2,20,0,3,35,17.5,0.0,과잉(재배치1순위),37.04634949127718,127.06028809182982
울산,울산광역시 중구내에서 2020년도에 반경50m 이내 다른사고6건 이상 지역,2,10,1,3,35,17.5,0.0,과잉(재배치1순위),35.55912162092078,129.30713252461624
경기,경기도 수원시 장안구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,2,10,1,3,35,17.5,0.0,과잉(재배치1순위),37.300521282180995,126.99541632363572
충북,충청북도 청주시 청원구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,1,8,0,2,18,18.0,0.0,과잉(재배치1순위),36.670952766345884,127.48323514661774
전남,전라남도 여수시내에서 2017년도에 반경80m 이내 다른사고10건 이상 지역,2,11,1,3,36,18.0,0.0,과잉(재배치1순위),34.75151426016365,127.69205005480043
경기,경기도 용인시수지구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,1,8,0,2,18,18.0,0.0,과잉(재배치1순위),37.325865581527445,127.07537478369461
충남,충청남도 아산시내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,2,16,0,4,36,18.0,0.0,과잉(재배치1순위),36.77954590880605,127.05199507405368
경기,경기도 군포시내에서 2020년도에 반경50m 이내 다른사고8건 이상 지역,1,13,0,1,18,18.0,0.0,과잉(재배치1순위),37.353483139761046,126.9424006687526
경기,경기도 광주시내에서 2021년도에 반경50m 이내 다른사고10건 이상 지역,1,13,0,1,18,18.0,0.0,과잉(재배치1순위),37.39264522857924,127.2278844765105
경기,경기도 가평군내에서 2022년도에 반경100m 이내 다른사고4건 이상 지역,1,8,0,2,18,18.0,0.0,과잉(재배치1순위),37.83373780196191,127.51094138744561
인천,인천광역시 부평구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,2,16,0,4,36,18.0,0.0,과잉(재배치1순위),37.5257275676294,126.7198415719732
경기,경기도 남양주시내에서 2017년도에 반경80m 이내 다른사고10건 이상 지역,2,13,1,3,38,19.0,0.0,과잉(재배치1순위),37.65533304732075,127.30434191887927
충남,충청남도 금산군내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,3,19,19.0,0.0,과잉(재배치1순위),36.10496446811553,127.49745578274977
전남,전라남도 영암군내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,1,9,0,2,19,19.0,0.0,과잉(재배치1순위),34.74881901496536,126.47609181533149
경기,경기도 군포시내에서 2019년도에 반경100m 이내 다른사고6건 이상 지역,1,9,0,2,19,19.0,0.0,과잉(재배치1순위),37.37503688040902,126.93331893613154
울산,울산광역시 동구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,1,9,0,2,19,19.0,0.0,과잉(재배치1순위),35.491479201776656,129.41242858399468
서울,서울특별시 노원구내에서 2022년도에 반경50m 이내 다른사고12건 이상 지역,1,14,0,1,19,19.0,0.0,과잉(재배치1순위),37.64150340026169,127.07319386051822
서울,서울특별시 구로구내에서 2022년도에 반경50m 이내 다른사고12건 이상 지역,1,19,0,0,19,19.0,0.0,과잉(재배치1순위),37.48982946340755,126.8751160033322
서울,서울특별시 관악구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,1,9,0,2,19,19.0,0.0,과잉(재배치1순위),37.48960148571027,126.94515976781652
경북,경상북도 영주시내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,3,19,19.0,0.0,과잉(재배치1순위),36.827695615573205,128.6277261977272
경북,경상북도 영주시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,1,10,0,2,20,20.0,0.0,과잉(재배치1순위),36.828365096920734,128.62366567042602
울산,울산광역시 중구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,1,10,0,2,20,20.0,0.0,과잉(재배치1순위),35.561316994176565,129.32535274007628
경기,경기도 하남시내에서 2021년도에 반경80m 이내 다른사고10건 이상 지역,1,10,0,2,20,20.0,0.0,과잉(재배치1순위),37.52520715024898,127.19746095187656
전남,전라남도 목포시내에서 2022년도에 반경80m 이내 다른사고10건 이상 지역,1,15,0,1,20,20.0,0.0,과잉(재배치1순위),34.828088497144144,126.42064494079101
경남,경상남도 밀양시내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,2,10,0,6,40,20.0,0.0,과잉(재배치1순위),35.487781503533405,128.75522326816812
경기,경기도 평택시내에서 2019년도에 반경50m 이내 다른사고10건 이상 지역,2,11,0,6,41,20.5,0.0,과잉(재배치1순위),37.059270510965945,127.05884157817819
경남,경상남도 진주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 지역,2,6,0,7,41,20.5,0.0,과잉(재배치1순위),35.17165152946913,128.06227246586639
울산,울산광역시 동구내에서 2017년도에 반경50m 이내 다른사고6건 이상 지역,1,6,0,3,21,21.0,0.0,과잉(재배치1순위),35.49130133736562,129.41284323626118
서울,서울특별시 구로구내에서 2019년도에 반경50m 이내 다른사고4건 이상 지역,1,11,0,2,21,21.0,0.0,과잉(재배치1순위),37.489901627691346,126.87512671521816
울산,울산광역시 동구내에서 2021년도에 반경50m 이내 다른사고6건 이상 지역,1,6,0,3,21,21.0,0.0,과잉(재배치1순위),35.489818969411665,129.4159274980668
경기,경기도 수원시 권선구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,1,16,0,1,21,21.0,0.0,과잉(재배치1순위),37.24817183015469,127.0359280696961
